Title,Author,Detail URL
Analisis Efesiensi Kinerja Website Brimen Dalam Mengelola Dokumen Digital Pada Bank BRI Unit Batubulan Menggunakan Google Lighthouse,I Komang Peri Darwika,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14109&keywords=
Desain Topologi Dan Analisa Infrastruktur Internet Pada Alma Bingin Bali Menggunakan NDLC Di PT MTM Bali,I Putu Riski Baswara,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14108&keywords=
Perancangan SIstem Informasi Pelaporan Kegiatan Liputan Organisasi Perangkat Daerah Pada Dinas Komunikasi Dan Informatika (KOMINFO) Kabupaten Badung Berbasis Web,I Putu Hendra Alfa Jawantara,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14107&keywords=
Analisis Metode Perancangan Sistem Tingkat Keterkaitan Antara Naskah Peraturan Menggunakan Systematic Literature Review,I Gst. Ayu Aprilia Santi,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14106&keywords=
Perancangan Sistem Analisis Tingkat Keterkaitan Antara Naskah Peraturan,Ni Putu Putri Intan Maharani,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14105&keywords=
Skema RPL,I Made Mertha Adi Pramana Putra,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14104&keywords=
Perancangan Sistem Brimen Berbasis Website Pada Bank Rakyat Indonesia Unit Ubud Untuk Mempermudah Pencarian Berkas Nasabah,I Komang budiarta,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14103&keywords=
Perancangan Sistem Informasi Penyimpan Arsip Pada Sekretariat Dinas Ketahanan Pangan Kabupaten Tabanan,David Putra Kristanto,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14102&keywords=
Sistem Informasi Pendataan Barang Berbasis Website Pada Dinas Ketenagakerjaan Dan Energi Sumber Daya Mineral Provinsi Bali,Bezaleel Yehuda Marchel H,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14101&keywords=
Perancangan Antarmuka Sistem TO-DO List Pada Dinas Ketenagakerjaan Dan Esdm Prvoinsi Bali Dengan Figma,Yossie Santhoso Putro,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14100&keywords=
Perancangan Pengelolaan Data Anggota Proyek Pada Website Sistem Informasi Dan Dokumentasi (SIDOI) Badan Pusat Statistika Kabupaten Badung,I Gusti Agung Krisna Dipayana,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14139&keywords=
Perancangan Company Profile Pada Polres Badung Sebagai Profil Polres Badung,I Nyoman Rai Khrisna,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14138&keywords=
Perancangan Sistem Informasi Membership Digital Pada 2'De Gym Berbasis Website,Putu Gede Bagus Ary Pinatih,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14137&keywords=
Pengaruh Strategi Bauran Pemasaran Terhadap Kepuasan Konsumen Pada Unit Usaha Moto Kopi & Toast Bali,Rayhan Rabbanni,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14136&keywords=
Perancangan Sistem Informasi Pengaduan Layanan Berbasis Website Pada Dinas Komunikasi Dan Informatika Kabupaten Badung,Made D. Brahmantara Danendra,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14135&keywords=
Analisis Perbandingan Jaringan Fail Over Dan Load Balancing Pada Dua ISP Berbeda Menggunakan Router Mikrotik Studi Kasus Natya Hotel Kuta,I Nyoman Karang Arta,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14134&keywords=
Perancangan Corporate Identity Pada Polres Badung Sebagai Identitas Perusahaan,Putu Pande Rismadana Putra,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14133&keywords=
Sistem Informasi Pengisian Surat Disposisi Berbasis Web Pada Badan Pengelolaan Keuangan Dan Aset Daerah (BPKAD) Kabupaten Badung,I Gusti Agung Gede Vedanta A,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14132&keywords=
Sistem Informasi Penjadwalan Monitoring Aset Berbasis Web Pada Badan Pengelolaan Keuangan Dan Aset Daerah (BPKAD) Kabupaten Badung,I Gusti Agung Made Surya Andi P,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14131&keywords=
Skema RPL,Ni Made Sisilya Pratiwi,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14130&keywords=
Perancangan Sistem Informasi Layanan Data Makro Ekonomi Dan Sosial Pada Badan Pusat Statistik (BPS) Kabupaten Badung,I Gede Arjawa Wibawa,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14119&keywords=
Perancangan Database Pada Sistem Informasi Center Of Excellence Berbasis Website,I Gede Juna Darma Putra,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14118&keywords=
Pengujian Fungsionalitas Dan Performa Pada Website Center Of Excellence (COE) ITB STIKOM Bali,Ardi Darmawan,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14117&keywords=
Perancangan Website Rekap Realisasi Anggaran Dinas Ketenagakerjaan Dan Energi Sumber Daya Mineral Provinsi Bali,Muhamad Zulfikar,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14116&keywords=
Perancangan Sistem Antrian Digital Berbasis Web Pada Bank Rakyat Indonesia Unit Mas,I Putu Krisna Sedana Putra,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14115&keywords=
Rancangan Aplikasi Arsip Surat Elektronik Berbasis Web (Studi Kasus: DPMPTSP Kabupaten Badung Bidang Promosi),Dewa Ketut Darma Yoga,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14114&keywords=
Rancangan Sistem Manajemen Surat Elektronik Berbasis Web Untuk Pengelolaan Surat Masuk Dan Keluar Di Dinas Penanaman Modal Dan Pelayanan Terpadu Satu Pintu,I Putu Ino Satya Wibawa,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14113&keywords=
Konten Media Sosial Poster Pilkada 2024 Polres Badung,Figueredo Elvis Soares Da Conceicao,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14112&keywords=
Website Turyapada Tower Diskominfos Bali,I Ketut Krisna Candra,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14111&keywords=
Perancangan Interface Pengaduan Masyarakat Berbasis Website Pada Dinas Kominfo Kabupaten Badung Bagian TIK,Made Bagus Adiyasa,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14110&keywords=
Perancangan Sistem Data Klien Berbasis Website Pada Perusahaan PT. Victory Internasional Future,I Nyoman Andhika Tri Satyawan,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14129&keywords=
Perancangan Sistem Informasi Kegiatan Dan Kehadiran Pegawai Pada Bawaslu Provinsi Bali Berbasis Website,Putu Agus Eka Putra,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14128&keywords=
Analisi Dan Perencanaan Topologi Jaringan Pada Tower Turyapada Bali,Rizky Fahreza Ali,https://library.stikom-bali.ac.id/index.php?p=show_detail&id=14127&keywords=
